data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8605449,566,NIG22341,22341,"20 October 2021",2021,1,Protests,"Protest with intervention","Protesters (Nigeria)","#EndSARS; Civilians (Nigeria); Journalists (Nigeria)",6,"Police Forces of Nigeria (2015-)",,1,16,"Western Africa",Nigeria,Osun,Osogbo,,Oshogbo,7.7667,4.5667,1,"Daily Post (Nigeria); Nigeria Punch",National,"On 20 October 2021, some #EndSARS protesters were attacked by policemen during a memorial protest in Oshogbo (Osogbo, Osun); a journalist was also attacked and charged to a mobile court by policemen. [size=no report]",0,1635193320,NGA
8605629,566,NIG22342,22342,"20 October 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)",,7,37,"Western Africa",Nigeria,Edo,"Esan South East",,Ubiaja,6.655,6.3869,2,"CKN Nigeria",National,"On 20 October 2021, unidentified armed men abducted 123 passengers around Ubiaja expressway (Esan South East, Edo). One passenger was rescued by a hunter.",0,1635193320,NGA
8605875,566,NIG22336,22336,"20 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)","Labour Group (Nigeria); Private Security Forces (Nigeria)",6,,,0,60,"Western Africa",Nigeria,Kwara,"Ilorin East",,Illorin,8.5,4.55,1,"Nigeria Punch",National,"On 20 October 2021, drivers and the security detail of the Bauchi state contingent at the national youth games protested over the non-payment of their allowances in Illorin (Ilorin East, Kwara); they refused to leave the venue until their demands were met. [size=no report]",0,1635193321,NGA
8605968,566,NIG22333,22333,"20 October 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Nigeria (2015-)",,1,"Civilians (Nigeria)",,7,17,"Western Africa",Nigeria,Enugu,"Enugu North",,Enugu,6.4426,7.5022,1,"Sahara Reporters",Regional,"On 20 October 2021, policemen attacked participants and conveners of an EndSARS symposium in Enugu (Enugu North, Enugu). The reason for the attack is unknown. There were no casualties.",0,1635193321,NGA
8611902,566,NIG22362,22362,"20 October 2021",2021,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Nigeria (2015-)",,1,"Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,2,12,"Western Africa",Nigeria,Borno,Abadan,,"Malam Fatori",13.6746,13.3395,2,"Blueprint; Nigeria Punch; Daily Independent (Nigeria)",National,"On 20 October 2021, the Nigerian air force carried out airstrikes against Boko Haram/ISWAP militants, targeting 20 insurgent boats converging in Tumbun on Lake Chad and Malam Fatori (Abadan, Borno). Scores of militants were killed, coded as 20.",20,1635798955,NGA
8612352,566,NIG22361,22361,"20 October 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Nigeria (2015-)",,1,"Civilians (Nigeria)","Health Workers (Nigeria)",7,17,"Western Africa",Nigeria,Katsina,Katsina,,Katsina,12.9894,7.6006,1,"Sahara Reporters",Regional,"On 20 October 2021, policemen attacked and beat up a nurse on duty in a hospital in Katsina (Katsina, Katsina). The nurse was attacked over his refusal to buy drugs for patients with his money.",0,1635798956,NGA
8667185,566,NIG22330,22330,"20 October 2021",2021,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (West Africa) - Lake Chad Faction",,2,"Military Forces of Nigeria (2015-)",,1,12,"Western Africa",Nigeria,Borno,Bama,,Bama,11.5221,13.6856,2,Twitter,"New media","On 20 October 2021, ISWAP claimed an IED attack on Nigerian soldiers along Katafila-Mararaba (Bama, Borno), coded as Bama. Casualties unknown.",0,1638292282,NGA
8605433,566,NIG22321,22321,"19 October 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)",,1,"Kaduna Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Kaduna,"Birnin Gwari",,Farin-Ruwa,11.0686,6.7884,2,"Daily Post (Nigeria); Daily Independent (Nigeria)",National,"On 19 October 2021, Nigerian troops killed over fifty Kaduna militia members during air raids supported by ground troops in the Saulawa - Farin-Ruwa axis (Birnin Gwari, Kaduna).",50,1635193320,NGA
8605435,566,NIG22323,22323,"19 October 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)",,1,"Islamic State (West Africa) - Lake Chad Faction",,2,12,"Western Africa",Nigeria,Borno,"Maiduguri Metro",,Maiduguri,11.8312,13.1517,3,"Daily Trust (Nigeria); Daily Post (Nigeria)",National,"On 19 October 2021, Al Barnawi's successor, Mallam Bako, alongside another ISWAP commander, were killed during an operation by military forces; this was confirmed by the National Security Adviser. Location coded to Maiduguri (Maiduguri Metro, Borno).",2,1635193320,NGA
8605436,566,NIG22324,22324,"19 October 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)","Government of Nigeria (2015-)",7,37,"Western Africa",Nigeria,Imo,Njaba,,Nnenasa,5.7326,7.0136,1,"Guardian (Nigeria); Daily Trust (Nigeria); Nigeria Punch; Daily Post (Nigeria)",National,"On 19 October 2021, unidentified armed men attacked a traditional rulers' meeting at Nnenasa (Njaba, Imo); two rulers were killed, other sources reported three fatalities; an unspecified number were injured. The IPOB has denied links with the attack.",2,1635193320,NGA
8605437,566,NIG22325,22325,"19 October 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Zamfara Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Zamfara,"Talata Mafara",,"Talata Mafara",12.5684,6.0623,1,"CKN Nigeria; Daily Post (Nigeria)",National,"On 19 October 2021, suspected militia members abducted the brother in-law of a former governor of Zamfara and his neighbor in Talata Mafara (Talata Mafara, Zamfara). There are no reports about ransom demands yet.",0,1635193320,NGA
8605640,566,NIG22320,22320,"19 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,Rivers,"Port Harcourt",,Elekahia,4.8133,7.0237,1,"Daily Independent (Nigeria)",National,"On 19 October 2021, victims of a failed forex scheme protested at the palace of the paramount ruler of Elekahia (Port Harcourt, Rivers), urging him to summon the alleged responsible, who is from the ruler's community. [size=no report]",0,1635193320,NGA
8605874,566,NIG22318,22318,"19 October 2021",2021,1,"Violence against civilians",Attack,"Ebube Agu Corps",,1,"Civilians (Nigeria)",,7,17,"Western Africa",Nigeria,Ebonyi,"Afikpo North",,Amaseri,5.9065,7.8851,1,"Nigeria Punch",National,"On 19 October 2021, Ebube Agu security operatives killed four persons and wounded an unspecified number of individuals in Amaseri (Afikpo North, Ebonyi). The victims were attacked because they allegedly sealed off a quarry company.",4,1635193321,NGA
8605967,566,NIG22317,22317,"19 October 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Nigeria (2015-)",,1,"Civilians (Nigeria)",,7,17,"Western Africa",Nigeria,Delta,"Ndokwa East",,Aboh,5.5464,6.5281,1,"Sahara Reporters",Regional,"On 19 October 2021, two soldiers tortured a man to death in Aboh (Ndokwa East, Delta) over robbery accusations.",1,1635193321,NGA
8605995,566,NIG22319,22319,"19 October 2021",2021,1,Protests,"Protest with intervention","Protesters (Nigeria)","IPMAN: Independent Petroleum Marketers Association of Nigeria; Labour Group (Nigeria)",6,"Police Forces of Nigeria (2015-)",,1,16,"Western Africa",Nigeria,"Cross River","Calabar Municipal",,Calabar,4.9667,8.3333,1,"Sun (Nigeria)",National,"On 19 October 2021, policemen chased away IPMAN members protesting at the secretariat in Esuktang community in Calabar (Calabar Municipal, Cross River). [size=no report]",0,1635193321,NGA
8611897,566,NIG22326,22326,"19 October 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Zamfara Communal Militia (Nigeria)",,4,"Civilians (Nigeria)","Students (Nigeria)",7,47,"Western Africa",Nigeria,Zamfara,Tsafe,,Tsafe,11.9555,6.9194,1,"HumAngle; Vanguard (Nigeria); Sahara Reporters; Daily Post (Nigeria); Daily Independent (Nigeria); EONS Intelligence",National-Regional,"On 19 October 2021, a Zamfara militia abducted four persons believed to be students in Tsafe (Tsafe, Zamfara); the abductees were travelling to Kebbi from Benue. The abductors have demanded for 2 million naira each as ransom. The victims have been released, one escaped; reports do not mention whether a ransom was paid.",0,1635798955,NGA
8628890,566,NIG22505,22505,"19 October 2021",2021,2,"Violence against civilians","Abduction/forced disappearance","Katsina Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Katsina,Faskari,,Faskari,11.7196,7.0272,2,"Premium Times (Nigeria)",National,"Around 19 October 2021 (as reported), twenty five persons were abducted by a Katsina militia in Kanon Haki (Faskari, Katsina), coded as Faskari. The victims were released on 1 November, no details about ransom payment provided.",0,1636405423,NGA
8605428,566,NIG22307,22307,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)","Farmers (Nigeria)",6,,,0,60,"Western Africa",Nigeria,Ekiti,"Ado Ekiti",,Ado-Ekiti,7.621,5.2215,1,"Daily Post (Nigeria); Nigeria Punch",National,"On 18 October 2021, at least 1,000 farmers from different communities protested in Ado-Ekiti (Ado Ekiti) over the government's refusal to compensate them for lands acquired by the government to build an airport. [size=at least 1,000]",0,1635193320,NGA
8605429,566,NIG22309,22309,"18 October 2021",2021,1,Battles,"Armed clash","Unidentified Armed Group (Nigeria)",,3,"Police Forces of Nigeria (2015-)",,1,13,"Western Africa",Nigeria,Ebonyi,Ohaukwu,,Ezamgbo,6.3945,7.9765,2,"Sahara Reporters; The Cable (Nigeria); GardaWorld; Vanguard (Nigeria)",Other-National,"On 18 October 2021, unidentified armed men attacked the police divisional headquarters in Ohaukwu (Ebonyi), coded as Ezamgbo. One policeman was shot and later died from gunshot wounds, some operational vehicles were set ablaze. Other sources report that the assailant freed up to 35 detainees in custody; the police have denied this report.",1,1635193320,NGA
8605430,566,NIG22310,22310,"18 October 2021",2021,1,Battles,"Armed clash","Kaduna Communal Militia (Nigeria)",,4,"Military Forces of Nigeria (2015-)",,1,14,"Western Africa",Nigeria,Kaduna,Giwa,,Fatika,11.1625,7.2941,2,"Nigeria Punch; Premium Times (Nigeria)",National,"On 18 October 2021, security forces clashed with a Kaduna militia around the outskirts of Fatika (Giwa, Kaduna). One abductee was rescued, ten militia members were killed and several others escaped with gunshot wounds.",10,1635193320,NGA
8605431,566,NIG22311,22311,"18 October 2021",2021,1,Battles,"Armed clash","Islamic State (West Africa) - Lake Chad Faction",,2,"Military Forces of Nigeria (2015-)",,1,12,"Western Africa",Nigeria,Borno,"Maiduguri Metro",,Maiduguri,11.8312,13.1517,2,"HumAngle; Daily Post (Nigeria)",National,"On 18 October 2021, Nigerian forces repelled an incursion by ISWAP at Chabbal, near Maiduguri - Magumeri - Gubio road, 3 km from Maiduguri (Maiduguri Metro, Borno). Twenty militants were killed, multiple gun trucks and weapons were recovered by the troops.",20,1635193320,NGA
8605654,566,NIG22313,22313,"18 October 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)",,7,37,"Western Africa",Nigeria,Kogi,Okene,,Okene,7.5456,6.2538,2,"Daily Post (Nigeria)",National,"On 18 October 2021, unidentified armed men attacked the convoy of a lawmaker along Akure -Okene road (Okene, Kogi), coded as Okene, and shot at his suspected sitting position. The lawmaker was not in the convoy, casualties unknown.",0,1635193320,NGA
8605878,566,NIG22312,22312,"18 October 2021",2021,1,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)","Farmers (Nigeria); Women (Nigeria)",7,47,"Western Africa",Nigeria,Enugu,"Uzo Uwani",,Nimbo,6.8167,7.1667,1,"Nigeria Punch",National,"On 18 October 2021, suspected Fulani pastoralists attacked and killed a woman on her farm in Nimbo (Uzo Uwani, Enugu).",1,1635193321,NGA
8605894,566,NIG22308,22308,"18 October 2021",2021,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Nigeria (2015-)",,1,"Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,2,12,"Western Africa",Nigeria,Borno,Bama,,Bama,11.5221,13.6856,2,"Premium Times (Nigeria)",National,"On 18 October 2021, a gun truck belonging to ISWAP/Boko Haram militants ran over an improvised explosive device around the 151 battalion location near Bama (Bama, Borno). Four militants were killed. The IED was reportedly planted by military forces.",4,1635193321,NGA
8605996,566,NIG22314,22314,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,Ogun,Ado-Odo,,Otta,6.6841,3.2327,1,"Sun (Nigeria)",National,"On 18 October 2021, residents from communities in Otta (Ado-Odo, Ogun) protested over the deplorable state of the roads in the area. [size=no report]",0,1635193321,NGA
8612099,566,NIG22360,22360,"18 October 2021",2021,2,"Violence against civilians","Abduction/forced disappearance","Niger Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Niger,Suleja,,Suleja,9.1758,7.1808,1,"Daily Trust (Nigeria)",National,"Around 18 October 2021 (as reported), two persons were abducted by a Niger militia in Suleja (Suleja, Niger). They were released on 24 October after a ransom of 1 million naira each was paid and call card worth 50 thousand was provided to their abductors.",0,1635798955,NGA
8673539,566,NIG22315,22315,"18 October 2021",2021,1,Battles,"Armed clash","Islamic State (West Africa) - Lake Chad Faction",,2,"Military Forces of Nigeria (2015-)","Military Forces of Cameroon (1982-)",1,12,"Western Africa",Nigeria,Borno,Ngala,,Wulgo,12.4839,14.1813,1,"Premium Times (Nigeria); HumAngle; Twitter","New media-National","On 18 October 2021, Nigeria and Cameroonian forces foiled an infiltration by Boko Haram/ISWAP militants into a military camp in Wulgo (Ngala, Borno). Four militants were killed, weapons and ammunitions were also seized by the troops. ISWAP claimed the attack with 10 soldiers killed and 8 wounded.",4,1638831648,NGA
8605426,566,NIG22302,22302,"17 October 2021",2021,1,"Violence against civilians",Attack,"Sokoto Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Sokoto,Goronyo,,Goronyo,13.4423,5.6723,1,"GardaWorld; Sahara Reporters; Defense Post",Other-Regional,"On 17 October 2021, unidentified armed men, presumably Sokota militias, attacked civilians at a market in Goronyo (Goronyo, Sokoto). At least 49 persons were killed and an unspecified number were injured.",49,1635193320,NGA
8605427,566,NIG22303,22303,"17 October 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)","Christian Group (Nigeria)",7,37,"Western Africa",Nigeria,Kwara,"Ilorin East",,Illorin,8.5,4.55,1,"The Cable (Nigeria); Premium Times (Nigeria)",National,"On 17 October 2021, unidentified armed men shot and killed a man outside of his church in Illorin (Ilorin East, Kwara). The reason for the attack is unknown.",1,1635193320,NGA
8605681,566,NIG22306,22306,"17 October 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)",,7,37,"Western Africa",Nigeria,Taraba,Jalingo,,Yelwa,8.9068,11.3753,2,"EONS Intelligence",National,"On 17 October 2021, unidentified armed men abducted a man and a woman from different locations in Jalingo (Taraba), coded as Yelwa. There are no reports on ransom demands yet.",0,1635193320,NGA
8605873,566,NIG22300,22300,"17 October 2021",2021,1,"Violence against civilians",Attack,"Agila Communal Militia (Nigeria)",,4,"Civilians (Nigeria)","Mgbo Ethnic Group (Nigeria)",7,47,"Western Africa",Nigeria,Benue,Ado,,Apa-Agila,6.7612,7.9215,2,"Nigeria Punch",National,"On 17 October 2021, Agila communal militia members attacked and killed one person from the Mgbo ethnic group in retaliation of previous attacks (coded previously), in Apa ward of Ado Local Government Area of Benue State. Location coded as Apa-Agila (Ado, Benue). The local government chairman of Ado LGA announced a dusk to dawn curfew in the area following the attacks.",1,1635193321,NGA
8667180,566,NIG22305,22305,"17 October 2021",2021,1,Battles,"Armed clash","Islamic State (West Africa) - Lake Chad Faction",,2,"Military Forces of Nigeria (2015-)",,1,12,"Western Africa",Nigeria,Borno,Kaga,,Ngamdu,11.7652,12.2605,2,Twitter,"New media","On 17 October 2021, ISWAP claimed an attack on a Nigerian army checkpoint in Tasmukawu, east of Ngamdu (Kaga, Borno). One soldier was killed, equipment belonging to the troops were seized.",1,1638292282,NGA
8667187,566,NIG22301,22301,"17 October 2021",2021,1,Battles,"Armed clash","Islamic State (West Africa) - Lake Chad Faction",,2,"Military Forces of Nigeria (2015-)",,1,12,"Western Africa",Nigeria,Borno,Nganzai,,Gambori,12.5612,13.2924,2,Twitter,"New media","On 17 October 2021, ISWAP claimed to have clashed with military forces in Ladari, a village close to Gambori (Nganzai, Borno). Casualties unknown.",0,1638292282,NGA
8605420,566,NIG22290,22290,"16 October 2021",2021,1,"Violence against civilians",Attack,"APC: All Progressives Congress",,3,"Civilians (Nigeria)","APC: All Progressives Congress",7,37,"Western Africa",Nigeria,Ogun,"Abeokuta North",,Ake,7.2406,3.3237,1,"Daily Independent (Nigeria); Nigeria Punch; New Telegraph",National,"On 16 October 2021, a faction of the APC in Ogun attacked APC members loyal to Ibikunle Amosun at Ake (Abeokuta North, Ogun). An unspecified number of persons were wounded, other sources report one killed and three wounded.",0,1635193320,NGA
8605421,566,NIG22291,22291,"16 October 2021",2021,2,Battles,"Armed clash","Agila Communal Militia (Nigeria)",,4,"Mgbo Ethnic Militia (Nigeria)",,4,44,"Western Africa",Nigeria,Benue,Ado,,Apa-Agila,6.7612,7.9215,2,"Daily Trust (Nigeria); Daily Post (Nigeria)",National,"Around 16 October 2021 (as reported), militias from Agila and Mgbo clashed around the boundary between Benue and Ebonyi states, nine people from Benue have been declared missing, and one dead person was found Sunday morning. Location coded to Apa-Agila (Ado, Benue).",1,1635193320,NGA
8605422,566,NIG22293,22293,"16 October 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)","PDP: People's Democratic Party",7,37,"Western Africa",Nigeria,Oyo,"Ibadan North West",,Ibadan,7.3776,3.9059,1,"Sahara Reporters; New Telegraph; Daily Independent (Nigeria)",National-Regional,"On 16 October 2021, unidentified armed men attacked members of the PDP holding a parallel congress in Ibadan (Ibadan North West, Oyo). Five persons were wounded, over fifty vehicles were destroyed.",0,1635193320,NGA
8605423,566,NIG22297,22297,"16 October 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)","PDP: People's Democratic Party",7,37,"Western Africa",Nigeria,Lagos,"Lagos Island",,Lagos,6.4531,3.3958,1,"New Telegraph; Nigeria Tribune",National,"On 16 October 2021, an unidentified armed group disrupted the congress of the PDP at the Tafawa Balewa Square, Lagos (Lagos Island). The gunshots started following disagreements over the delegates list of some local government areas. Casualties unknown.",0,1635193320,NGA
8605425,566,NIG22299,22299,"16 October 2021",2021,1,Battles,"Armed clash","APC: All Progressives Congress",,3,"APC: All Progressives Congress",,3,33,"Western Africa",Nigeria,Osun,Osogbo,,Oshogbo,7.7667,4.5667,1,"Sahara Reporters; New Telegraph; Nigeria Punch",National-Regional,"On 16 October 2021, two armed groups belonging to factions of the APC in Osun state clashed around the venue of a parallel congress held by The Osun Progressives in Oshogbo (Osogbo, Osun). Two people were wounded.",0,1635193320,NGA
8605876,566,NIG22295,22295,"16 October 2021",2021,2,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)","Farmers (Nigeria)",7,47,"Western Africa",Nigeria,Kwara,"Kai Ama",,Kaiama,9.6225,3.9481,1,"Nigeria Punch",National,"Around 16 October 2021 (as reported), a Fulani pastoralist attacked and wounded a farmer with a machete over an ongoing land dispute in Kaiama (Kai Ama, Kwara).",0,1635193321,NGA
8605879,566,NIG22292,22292,"16 October 2021",2021,1,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Enugu,Ezeagu,,Ezeagu,6.3832,7.2898,2,"Nigeria Punch",National,"On 16 October 2021, suspected Fulani pastoralists attacked the Awha-Ndiagu community (Ezeagu, Enugu), coded as Ezeagu; one person was wounded in the attack.",0,1635193321,NGA
8605963,566,NIG22296,22296,"16 October 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Nigeria (2015-) Department of State Services",,1,"Civilians (Nigeria)","APC: All Progressives Congress",7,17,"Western Africa",Nigeria,Kano,"Kano Municipal",,Kano,12,8.5167,1,"Sahara Reporters",Regional,"On 16 October 2021, DSS operatives sealed off the venue of a parallel APC congress and fired tear gas at the supporters of the politicians in Kano (Kano Municipal, Kano).",0,1635193321,NGA
8605966,566,NIG22294,22294,"16 October 2021",2021,1,Riots,"Mob violence","Rioters (Nigeria)","PDP: People's Democratic Party",5,"Civilians (Nigeria)","Government of Nigeria (2015-); PDP: People's Democratic Party; Labour Group (Nigeria)",7,57,"Western Africa",Nigeria,Oyo,"Ibadan North West",,Ibadan,7.3776,3.9059,1,"Sahara Reporters",Regional,"On 16 October 2021, rioters vandalized properties, including a bakery and gas station, belonging to the deputy governor of Oyo state in Agugu, Ibadan (Ibadan North West, Oyo), following his absence at the PDP congress held in the state and his rift with the governor. More than 100 vehicles were vandalized. [size=no report]",0,1635193321,NGA
8612101,566,NIG22359,22359,"16 October 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria)",7,37,"Western Africa",Nigeria,"Federal Capital Territory",Kuje,,Rubochi,8.5458,7.0511,1,"Daily Trust (Nigeria)",Subnational,"On 16 October 2021, unidentified armed men attacked a Fulani pastoralists settlement, wounded one person and abducted two others in Rubochi (Kuje, FCT).",0,1635798955,NGA
